id_4215,YY79458,Sedan,Yang,Yes,Sector 16,Sector 11,2
id_4217,YY79460,Sedan,Zhou,No,Sector 16,Sector 4,5
id_4218,YY79461,Bus,Lily,No,Sector 19,Sector 15,5
id_4218,YY79461,Bus,Lily,Yes,Sector 11,Sector 8,2
id_4218,YY79461,Bus,Lily,No,Sector 2,Sector 12,1
id_4216,YY79459,Bus,Fan,Yes,Sector 15,Sector 3,5
id_4232,YY79475,Bus,Hong,Yes,Sector 11,Sector 12,3
id_4219,YY79462,Sedan,Jay,No,Sector 19,Sector 1,3
id_4225,YY79468,Sedan,Valentin,Yes,Sector 11,Sector 6,3
id_4214,YY79457,Bus,Wanda,No,Sector 11,Sector 18,3
id_4227,YY79470,Sedan,Jane,No,Sector 6,Sector 5,1
id_4217,YY79460,Sedan,Zhou,Yes,Sector 14,Sector 19,3
id_4230,YY79473,Bus,Angus,Yes,Sector 2,Sector 1,5
id_4219,YY79462,Sedan,Jay,Yes,Sector 11,Sector 8,4
id_4228,YY79471,Bus,Ricky,Yes,Sector 1,Sector 3,2
id_4226,YY79469,Bus,Maria,No,Sector 5,Sector 20,3
id_4216,YY79459,Bus,Fan,Yes,Sector 15,Sector 13,4
id_4220,YY79463,Bus,Mike,Yes,Sector 1,Sector 14,4
id_4215,YY79458,Sedan,Yang,Yes,Sector 4,Sector 11,3
id_4214,YY79457,Bus,Wanda,Yes,Sector 9,Sector 8,5
id_4229,YY79472,Sedan,Da,No,Sector 18,Sector 15,4
id_4226,YY79469,Bus,Maria,Yes,Sector 6,Sector 6,4
id_4221,YY79464,Sedan,Eason,No,Sector 17,Sector 3,3
id_4231,YY79474,Sedan,Hans,Yes,Sector 16,Sector 5,5
id_4216,YY79459,Bus,Fan,No,Sector 20,Sector 14,1
id_4217,YY79460,Sedan,Zhou,No,Sector 3,Sector 12,2
id_4219,YY79462,Sedan,Jay,No,Sector 19,Sector 1,3
id_4221,YY79464,Sedan,Eason,No,Sector 18,Sector 13,1
id_4216,YY79459,Bus,Fan,No,Sector 16,Sector 11,5
id_4228,YY79471,Bus,Ricky,Yes,Sector 14,Sector 11,5
id_4232,YY79475,Bus,Hong,No,Sector 12,Sector 18,1
id_4224,YY79467,Bus,Jobs,Yes,Sector 18,Sector 12,3
id_4222,YY79465,Bus,John,No,Sector 14,Sector 10,1
id_4225,YY79468,Sedan,Valentin,No,Sector 16,Sector 20,3
id_4215,YY79458,Sedan,Yang,Yes,Sector 14,Sector 13,1
id_4218,YY79461,Bus,Lily,Yes,Sector 6,Sector 15,2
id_4223,YY79466,Sedan,Joe,Yes,Sector 16,Sector 14,4
id_4230,YY79473,Bus,Angus,No,Sector 19,Sector 2,4
id_4217,YY79460,Sedan,Zhou,No,Sector 7,Sector 4,4
id_4213,YY79456,Sedan,Yifei,Yes,Sector 8,Sector 3,3
id_4221,YY79464,Sedan,Eason,Yes,Sector 4,Sector 9,2
id_4231,YY79474,Sedan,Hans,No,Sector 1,Sector 17,4
id_4226,YY79469,Bus,Maria,Yes,Sector 10,Sector 19,4
id_4217,YY79460,Sedan,Zhou,No,Sector 10,Sector 1,5
id_4230,YY79473,Bus,Angus,No,Sector 12,Sector 1,1
id_4227,YY79470,Sedan,Jane,No,Sector 2,Sector 11,3
id_4221,YY79464,Sedan,Eason,No,Sector 10,Sector 10,3
id_4228,YY79471,Bus,Ricky,Yes,Sector 3,Sector 2,5
id_4227,YY79470,Sedan,Jane,Yes,Sector 12,Sector 11,4
id_4215,YY79458,Sedan,Yang,Yes,Sector 6,Sector 19,4
id_4229,YY79472,Sedan,Da,Yes,Sector 19,Sector 9,4
id_4232,YY79475,Bus,Hong,No,Sector 20,Sector 8,4
id_4227,YY79470,Sedan,Jane,No,Sector 14,Sector 19,3
id_4228,YY79471,Bus,Ricky,Yes,Sector 6,Sector 1,2
id_4227,YY79470,Sedan,Jane,No,Sector 11,Sector 15,1
id_4231,YY79474,Sedan,Hans,No,Sector 7,Sector 1,3
id_4221,YY79464,Sedan,Eason,No,Sector 12,Sector 7,5
id_4213,YY79456,Sedan,Yifei,No,Sector 2,Sector 11,2
id_4216,YY79459,Bus,Fan,Yes,Sector 4,Sector 4,1
id_4220,YY79463,Bus,Mike,Yes,Sector 19,Sector 11,2
id_4228,YY79471,Bus,Ricky,No,Sector 16,Sector 19,2
id_4213,YY79456,Sedan,Yifei,Yes,Sector 3,Sector 4,3
id_4229,YY79472,Sedan,Da,Yes,Sector 15,Sector 3,5
id_4221,YY79464,Sedan,Eason,No,Sector 15,Sector 8,2
id_4220,YY79463,Bus,Mike,Yes,Sector 12,Sector 7,3
id_4214,YY79457,Bus,Wanda,No,Sector 12,Sector 4,3
id_4231,YY79474,Sedan,Hans,No,Sector 17,Sector 16,1
id_4225,YY79468,Sedan,Valentin,Yes,Sector 18,Sector 17,4
id_4222,YY79465,Bus,John,No,Sector 20,Sector 2,5
id_4219,YY79462,Sedan,Jay,No,Sector 12,Sector 1,3
id_4219,YY79462,Sedan,Jay,No,Sector 10,Sector 18,3
id_4227,YY79470,Sedan,Jane,Yes,Sector 13,Sector 11,1
id_4232,YY79475,Bus,Hong,No,Sector 19,Sector 15,3
id_4217,YY79460,Sedan,Zhou,No,Sector 4,Sector 2,1
id_4219,YY79462,Sedan,Jay,Yes,Sector 20,Sector 3,4
id_4222,YY79465,Bus,John,Yes,Sector 5,Sector 17,5
id_4225,YY79468,Sedan,Valentin,No,Sector 8,Sector 9,3
id_4222,YY79465,Bus,John,No,Sector 15,Sector 15,3
id_4226,YY79469,Bus,Maria,No,Sector 20,Sector 3,4
id_4225,YY79468,Sedan,Valentin,No,Sector 11,Sector 8,1
id_4217,YY79460,Sedan,Zhou,Yes,Sector 8,Sector 9,5
id_4229,YY79472,Sedan,Da,No,Sector 5,Sector 2,3
id_4220,YY79463,Bus,Mike,No,Sector 1,Sector 3,4
id_4223,YY79466,Sedan,Joe,Yes,Sector 13,Sector 1,2
id_4228,YY79471,Bus,Ricky,Yes,Sector 17,Sector 19,5
id_4213,YY79456,Sedan,Yifei,Yes,Sector 10,Sector 14,3
id_4225,YY79468,Sedan,Valentin,No,Sector 2,Sector 9,4
id_4232,YY79475,Bus,Hong,Yes,Sector 16,Sector 12,3
id_4223,YY79466,Sedan,Joe,Yes,Sector 13,Sector 7,4
id_4215,YY79458,Sedan,Yang,Yes,Sector 2,Sector 19,3
id_4216,YY79459,Bus,Fan,No,Sector 6,Sector 3,3
id_4214,YY79457,Bus,Wanda,No,Sector 15,Sector 16,4
id_4214,YY79457,Bus,Wanda,Yes,Sector 15,Sector 11,2
id_4213,YY79456,Sedan,Yifei,Yes,Sector 9,Sector 20,2
